"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Three Card Poker Game","0","Test Evaluate API Positive Scenarios","1","0","Validate Evaluate API Response Adhers to Schema","0"
"0","Three Card Poker Game","0","Deal Hand API","1","0","Deal Request returns suit and rank","0"
"0","Three Card Poker Game","0","Evaluate Hand API malformed request body returns HTTP400","1","0","Validate error when all cards are missing","0"
"0","Three Card Poker Game","0","Deal Hand API","1","0","Deal Request returns 3 cards","0"
"0","Three Card Poker Game","0","Hand Evaluation UI","1","0","This test verifies hand results are displayed in consecutive deals","0"
"0","Three Card Poker Game","0","Hand Evaluation UI","1","0","This test verifies hand result is displayed or not","0"
"1","Three Card Poker Game","0","Deal Hand","0","0","","0"
"0","Three Card Poker Game","0","Deal Hand UI","1","0","This test verifies all three cards are not empty","0"
"0","Three Card Poker Game","0","Deal Hand API","1","0","Deal Request returns 3 cards in consecutize deals","0"
"0","Three Card Poker Game","0","Deal Hand UI","1","0","This test verifies card has both rank and suit","0"
"0","Three Card Poker Game","0","Hand Evaluation UI","1","0","This test verifies hand rank displayed are valid ranks as per rule of the game","0"
"0","Three Card Poker Game","0","Evaluate Hand API malformed request body returns HTTP400","1","0","Validate error when hand only has 2 cards ","0"
"0","Three Card Poker Game","0","Test Evaluate API Positive Scenarios","1","0","Validate When Card is dealt, hand is evaluated","0"
"0","Three Card Poker Game","0","Deal Hand API","1","0","Deal Request returns successful response","0"
"0","Three Card Poker Game","0","Evaluate Hand API malformed request body returns HTTP400","1","0","Validate error when one of the hand's suit is Gold ","0"
"0","Three Card Poker Game","0","Evaluate Hand API malformed request body returns HTTP400","1","0","Validate error when hand has 4 cards ","0"
"0","Three Card Poker Game","0","Evaluate Hand API malformed request body returns HTTP400","1","0","Validate error when one of the hand's Rank is 20 ","0"
"0","Three Card Poker Game","0","Test Evaluate API Positive Scenarios","1","0","Validate correct result is sent","0"
